country,sector,alias,blurb
Zimbabwe,Mining,ZWE,"Zimbabwe's gold mining sector scores 29 of 100 points and ranks 81st of 89 assessments in the 2017 Resource Governance Index (RGI). Its failing performance is driven by an enabling environment that is characterized by failing institutions. Zimbabwe's gold mining sector contributes 23 percent to the country's total exportsand its gold reserves total nearly seven million ounces.
"
Zambia,Mining,ZMB," Zambia's copper mining sector scores 50 of 100 points in the 2017 Resource Governance Index (RGI), ranking 40th among 89 index assessments and 11th within the sub-Saharan Africa region. This overall weak score is particularly impacted by poor revenue management. As a middle-income country with 16 million inhabitants, Zambia has a gross domestic product per capita of just above USD 100. Mining constitutes 78 percent of Zambia's total exports making it one of the most resource-dependent member countries of the Extractive Industries Transparency Initiative (EITI). The mining sector contributes one fifth of government revenues and in the absence of significant diversification, its governance is likely to remain of strategic importance to Zambia.
"
Yemen,Oil and Gas,YEM,"Yemen's oil and gas sector scores 30 of 100 points and ranks 78th of 89 assessments in the 2017 Resource Governance Index (RGI). Yemen's poor performance can be attributed to a failing enabling environment created by an armed conflict that has split the country into two separately controlled areas and left the population on the brink of famine. Yemen is hobbled by political instability, government ineffectiveness and corruption. Yemen's modest oil production is also impacted by the conflict, though oil and gas constitute a fraction of the country's total exports. The straits off the Yemeni coast are important trade routes for oil from neighboring countries, and the conflict may impact regional oil trade by destabilizing these routes.
"
Vietnam,Oil and Gas,VNM,"Vietnam's largely state-controlled oil and gas sector scores 48 of 100 points and ranks 45th of 89 assessments in the 2017 Resource Governance Index (RGI). This result is driven by weak performance in the enabling environment component. The country has oil reserves of four billion barrelsand gas reserves of 25 trillion cubic feet, which combined constitutes 6 percent of Vietnam's exports.
"
Venezuela,Oil and Gas,VEN,"Venezuela's oil and gas sector scores 33 of 100 points and ranks 74th of 89 assessments in the 2017 Resource Governance Index (RGI). This poor performance is driven by its failing enabling environment where Venezuela ranks 80th with a score of 17. Venezuela has the world's largest oil reserves&mdash;300 billion barrels of oiland 200 trillion cubic feet of gas &mdash;and the oil and gas sector constitutes 98 percent of total exports. As the most resource-dependent country in the Latin American and Caribbean region, the poor governance of the natural resource sector has dire impacts on Venezuela's economic development and political stability.
"
Uzbekistan,Oil and Gas,UZB,"Uzbekistan's oil and gas sector scores 29 of 100 points and ranks 80th of 89 assessments in the 2017 Resource Governance Index (RGI). The country's enabling environment accounts for its failing scores in the index. Uzbekistan has reserves of just below 600 million barrels of oiland gas reserves totaling to 65 trillion cubic feet. There is little data available on the sector's share of total exports, economic activity or government revenues.
"
United States of America (Gulf of Mexico),Oil and Gas,USA,"The United States of America's (US) oil and gas sector scores 74 of 100 in the 2017 Resource Governance Index (RGI), ranking fifth among 89 assessments. This assessment focuses on the Gulf of Mexico, the US's main oil producing area. The US as a whole produces 16percent of the world's oil, and following a shale gas revolution, over 20 percent of the world's natural gas. As home to some of the world's largest oil companies, the impacts of resource governance in the US reverberate well beyond the operations taking place on or off the coast of the Gulf of Mexico. The US has led the way in setting a better standard of resource governance in some instances; the Foreign Corrupt Practices Act is cited as having significantly improved how US-headquartered extraction companies operate around the world. Furthermore, section 1504 of the 2010 Dodd-Frank Act promised to increase transparency of company-government financial relations.Its implementation has been subject to major delays which has been aggravated by the recent disapproval of the Securities and Exchange Commission's (SEC) implementing rule in early 2017.
"
United Kingdom,Oil and Gas,UK,"The United Kingdom's (UK) oil and gas sector scores 77 of 100 in the 2017 Resource Governance Index (RGI), ranking third among 89 index assessments. This result can be attributed to the UK's good enabling environment, which scores 95 of 100 and ranks fourth in the index. The UK has proven oil reserves of 200 million barrelsand gas reserves of 7 trillion cubic feet. The oil and gas sector constitutes eight percent of the UK's exports. Many global oil companies are headquartered in London and the UK government's recent progress in mandatory disclosure requirements has the potential to positively impact transparency on payments by oil companies to governments around the world. Compared to the 55 oil and gas sector assesments in the index, the UK is second only to Norway's in the index. It could improve by disclosing details of licensing, ownership and environmental documentation.
"
United Arab Emirates,Oil and Gas,UAE,"The oil and gas sector in the United Arab Emirates (UAE) scores 42 of 100 points and ranks 54th of 89 assessments in the 2017 Resource Governance Index (RGI). Its poor overall performance is driven by a failing score in revenue management (16 of 100). The UAE is currently the eight-largest petroleum producer in the world; over 90 percent of its proven reserves (98 billion barrels of oil and 215 trillion cubic feet of gas) are in Abu Dhabi. Each emirate controls the oil resources in its territory and sets the laws and policies for its oil and gas sector development. In Abu Dhabi, the Supreme Petroleum Council (SPC) sets Abu Dhabi's petroleum policies and the Abu Dhabi National Oil Company (ADNOC) runs the day-to-day operations. The sector constitutes 43 percent of the country's exports.
"
Ukraine,Oil and Gas,UKR,"Ukraine's oil and gas sector scores a weak 49 of 100 and ranks 44th among 89 assessments in the 2017 Resource Governance Index (RGI). Satisfactory performance in value realization is offset by poor performance in revenue management. Ukraine&#39;s hydrocarbon reserves amount to 395 million barrels of oil and 39 trillion cubic feet of gas. In 2014, Ukraine ranked fourth in Europe by volume of gas produced. Nevertheless, it is a net importer of natural gas and has historically been dependent on Russian gas. The annexation of Crimea by Russia in 2014 and the resulting tension between the two countries prompted Ukraine to diversify its gas sources. Following a 2015 government decree, the state-owned enterprise (SOE), Naftogaz, is required to sell its production to domestic refineries and is only allowed to export the surplus.
"
Uganda,Oil and Gas,UGA,"Uganda's oil and gas sector scores 44 of 100 in the 2017 Resource Governance Index (RGI), placing it 51st among 89 assessments in the index. This result is worsened by governance gaps in the extractive sector components and improved slightly by the enabling environment. Uganda has proven oil reserves of under two billion barrels, which attracted interest in exploration during the commodity boom of the last decade. However, early years of exploitation have been marked by uncertainties related to investment conditions andinfrastructure development with neighboring countries, and resistance by local communities. Reforms are under way, aiming to address the poor or failing performance of the oil and gas sector's licensing regime, state-owned enterprise (SOE) and revenue management, so that Uganda can create better governance conditions before it begins larger scale oil production.
"
Turkmenistan,Oil and Gas,TKM,"Turkmenistan's oil and gas sector scores 11 of 100 points and ranks 88th of 89 assessments in the 2017 Resource Governance Index (RGI). This failing performance is driven by the country's bottom-ranking score (89 out of 89 assessments) in the area of revenue management. Little information about Turkmenistan's resource sector governance is available. It is heavily resource dependent, and oil rents (which constitute 19 percent of the country's gross domestic product) are distributed unequally across the country's five million people. Its oil reserves amount to 600 million barrels and gas reserves total 265 trillion cubic feet.
"
Tunisia,Oil and Gas,TUN,"Tunisia's oil and gas sector scores 56 of 100 points in the 2017 Resource Governance Index, making it the best performer in the Middle East and North Africa (MENA) region and 26th among 89 assessments in the overall ranking. Tunisia has total natural gas reserves of two trillion cubic feet1and is not a major global hydrocarbons producer. According to the World Bank, hydrocarbons constituted seven percent of Tunisia's total exports in 2015.Since the Tunisian revolution, governance of the oil, gas and mining sectors has featured prominently in national reform discussions and the rewriting of the constitution, which now names the Tunisian people as owners all resources. Translating constitutional provisions into specific transparency requirements of the hydrocarbons code remains a work in progress.
"
Tunisia,Mining,TUN,"Tunisia is one of the world's top-ten phosphate producers and home to the world's fifth largest phosphate producing company, the state-owned Compagnie de Phosphate de Gafsa (CPG). Tunisia's mining sector scores 46 of 100 points in the 2017 Resource Governance Index, placing it 48th among 89 assessments in the overall ranking. Despite the overall weak performance, Tunisia's mining sector ranks fifth in the Middle East and North Africa (MENA) region. The phosphate mining industry is prone to environmental challenges and this is reflected in Tunisia's weak performance in terms of local impacts. Since the 2011 Tunisian revolution, governance of the oil, gas and mining sectors has featured prominently in discussions about reform in the country. Of the index's &ldquo;dual sector&rdquo; countries&mdash;those whose mining and oil and gas sectors were both assessed&mdash;Tunisia has the largest difference in performance between the two sectors &ndash; 10 points and 22ranks, pointing to potential for improvement in the mining sector.
"
Trinidad and Tobago,Oil and Gas,TTO,"Trinidad and Tobago scores 64 of 100 points in the 2017 Resource Governance Index (RGI), ranking 14th among 89 assessments in the index. This broadly positive result is driven by satisfactory scores in the enabling environment and value realization components, whereas it achieves a weak score in the revenue management component. The country has vast natural gas reserves, standing at 11 trillion cubic feet. Even though oil and gas-based products constituted over half of Trinidad and Tobago's exports in 2015, the small country has emerged as an example of success in investing oil and gas revenues to diversify the economy.
"
Timor-Leste,Oil and Gas,TLS,"Timor-Leste's oil and gas sector scores 49 of 100 points in the 2017 Resource Governance Index (RGI), ranking 43rd among 89 assessments and eighth among 15 assessments in the Asia Pacific region. This overall score is lowered by a poor score in the enabling environment component. Even though both extractive sector components, value realization and revenue management, achieve similar scores, there is great variation in performance at the subcomponent level. The oil and gas sector constituted 98 percent of exports and 97 percent of government revenues in 2013, making this sector a key facilitator of economic development.
"
Tanzania,Oil and Gas,TZA,"Tanzania's oil and gas sector scores 53 of 100 points in the 2017 Resource Governance Index (RGI). In contrast to its mature mining industry, Tanzania has not yet started large-scale production of gas following the discovery of significant offshore gas deposits &ndash; currently estimated at 57 trillion cubic feet. Tanzania's satisfactory performance in value realization, the component that measures the quality of governance in licensing, taxation, local impacts and state participation, is largely based on a legal framework that contains several important provisions on governance and transparency. As the country is not yet producing or exporting from most of these major gas fields, the relevant laws remain largely untested. Depending on progress with investment and implementation, the oil and gas industry has the potential to deliver significant benefits to one of the world's fastest growing populations.
"
Tanzania,Mining,TZA,"Tanzania's mining sector scores 49 of 100 points and ranks 42nd among 89 assessments in the 2017 Resource Governance Index (RGI). Tanzania is Africa's fourth-largest gold producer; this assessment focuses on gold mining, based on data collected during 2016. Tanzania has a mature mining industry. In the 2013&ndash;14 fiscal year revenues from gold mining constituted 80 percent of the extractive industries' 12 percent contribution to Tanzanian government revenues. Concerns over equitable distribution of benefits between investors, the government and local communities haveled the Tanzanian government to take steps towards improving governance and transparency. Some of these measures, such as improved access to sector data, are captured by this assessment. Others, such as renegotiation of contracts, are not. The results point to a need to close the gap between legal requirements and enforcement across severalareas, and more specifically, to address shortcomings in licensing and state-owned enterprise (SOE) governance.
"
Sudan,Oil and Gas,SDN,"Sudan's oil and gas sector scores 21 of 100 points and ranks 86th of 89 assessments in the 2017 Resource Governance Index (RGI). The country's enabling environment scores just 11 of 100 points and is a major factor in the country's overall performance in the index. Sudan is highly dependent on natural resources. It has has oil reserves of five billion barrels, and the oil and gas sector contributes 91 percent to the country's total exports.
"
South Sudan,Oil and Gas,SSD,"South Sudan's oil and gas sector scores 32 of 100 points and ranks 76th of 89 assessments in the 2017 Resource Governance Index (RGI). Thepoor performance of the world's youngest country is mainly attributable to a failing enabling environment characterized by conflict and abuses that are driven in part by fighting over the control of oil resources. The Petroleum Act of 2012 set a satisfactory baseline for oil sector governance, but it has largely gone unenforced due to conflict.
"
South Africa,Mining,ZAF,"South Africa's gold mining sector scores 57 of 100 points and ranks 23rd of 89 assessments in the 2017 Resource Governance Index (RGI). Sub-Saharan Africa's largest gold producer, South Africa, scores well in enabling environment, characterized by high government effectiveness, voice and accountability. However, it has the highest gini coefficient in the region; in the context of reforming the country's Mineral and Petroleum Resources Development Act and Mining Charter, there has been debate around the equitable distribution of benefits from the mining sector to the 55 million South Africans. South Africa boasts the most diversified economy in sub-Saharan Africa, but the mining sector still contributes 24 percent to total exports and is a major earner of government revenues. South Africa has gold reserves of just under 146 million ounces and also has world-class deposits of platinum, manganese and diamonds.
"
Sierra Leone,Mining,SLE,"Sierra Leone's iron ore sector scores 46 of 100 points and ranks 49th among 89 assessments in the 2017 Resource Governance Index (RGI). Despite its weak overall performance, the country performs satisfactorily in the index's value realization component, where it ranks 18th. Though the mining sector contributed only one percent to total exports in 2015,Sierra Leone's extractive sector rents account for 24 percent of gross domestic product, making Sierra Leone among the most resource-dependent of Extractive Industries Transparency Initiative countries.
"
Saudi Arabia,Oil and Gas,SAU,"Saudi Arabia's oil and gas sector scores 36 of 100 points and ranks 69th among 89 assessments in the 2017 Resource Governance Index (RGI). Saudi Arabia's poor overall performance in the index is largely attributable to scores in the value realization (which reflects licensing, taxation, local impact and the governance of state-owned enterprises) and revenue management components. The country scores 23 and 24 of 100 points for these components respectively. Though Saudi Arabia has developed significant skill and experience managing the oil and gas sector, the RGI assessment reveals governance challenges that weaken accountability to citizens and could hinder achievement of Saudi Arabia's long-term goals.

Saudi Arabia is the world's largest oil exporter. In 2015 it launched Vision 2030, a diversification strategy that involves preparing its national oil company, Saudi Aramco, for an initial public offering of shares. The goal of Vision 2030 is to finance investing in non-oil sectors such as public infrastructure and technology ventures. The success of this initiative will depend heavily on the ultimate valuation of the company. However, Saudi Aramco's governance receives a failing score in the index. For now, Saudi Arabia remains one of the world's most oil-dependent economies, with the sector contributing 78 percent of exports.
"
Russia,Oil and Gas,RUS,"Russia's oil and gas sector scores 45 of 100 points and ranks 50th among 89 assessments in the 2017 Resource Governance Index (RGI). Russia's has proven oil reserves of 80 billion barrelsand its gas reserves constitute just under 100 trillion cubic feet;in total, the sector constitues 63 percent of total exports.The global drop in oil prices, economic sanctions and increased military spending have caused currency and financial challenges in recent years.
"
Qatar,Oil and Gas,QAT,"Qatar's oil and gas sector scores a poor 43 of 100 points and ranks 53rd of 89 assessments in the 2017 Resource Governance Index (RGI). Despite boasting the highest per capita gross domestic product in the Middle East and North Africa (MENA) region and a strong enabling environment, Qatar's oil and gas governance receives low scores in several caterories, including revenue management, licensing and tax transparency. With proven oil reserves of over 25 billion barrelsand gas reserves totaling 858 trillion cubic feet, Qatar's oil and gas sector contributes 83 percent to exports.
"
Philippines,Mining,PHL,"The Philippines, a middle-income country with a population of over 100 million, scores 58 of 100 in the 2017 Resource Governance Index (RGI), ranking 21st among 89 assessments and fifth among 15 assessments in the Asia Pacific region. Satisfactory performance in enabling environment is offset by weak performance in value realization and revenue management. However, timely publication of financial reports and additional disclosures, including the Extractive Industries Transparency Initiative (EITI) reports, have led to improvements in the transparency of the Philippine Mineral Development Corporation. The mining sector contributes 4 percent to the Philippines&#39;s exports and with 6000 metric tons of nickel produced in 2016, the Philippines is among the top ten global producers of nickel; this assessment therefore focuses on nickel.
"
Peru,Mining,PER,"Peru scores a satisfactory 62 of 100 in the 2017 Resource Governance Index (RGI) and ranks 16th among 89 assessments. Peru achieves its best score in value realization, scoring 68 of 100, and worst in revenue management, scoring 57 of 100. Peru has the second-largest copper reserves in the world after neighboring Chile, with an estimated 90 million metric tons in 2016. Additionally, Peru has significant oil, gas, silver, zinc and lead reserves, all of which contribute to the prominence of extractive industries in Peruvian public policy. In the run-up to the 2018 local elections, debates on diversification and decentralization of extractive sector management have gained importance. Based on the index results, the Peruvian government should strengthen audit and oversight mechanisms, governance at the subnational level and environmental compliance.
"
Papua New Guinea,Mining,PNG,"Papua New Guinea's copper mining sector scores a weak 47 of 100 points and ranks 46th of 89 assessments in the 2017 Resource Governance Index (RGI). With minerals constituting 55 percent of total exports, Papua New Guinea has one of the least diversified economies in the Asia-Pacific region. It is also the most resource-dependent country in the region and among Extractive Industries Transparency Initiative countries. Extractive sector rents constitute 24 percent of Papua New Guinea's gross domestic product
"
Oman,Oil and Gas,OMN,"Oman's oil and gas sector scores 50 of 100 points and ranks 39th among 89 assessments in the 2017 Resource Governance Index (RGI). The sectors' overall performance is driven by a good enabling environment, scoring 76 of 100 points and ranking 12th in the index in this area. The country has five billion barrels of proven oil reserves and 23 trillion cubic feet of gas reserves.The sector constitutes 62 percent of the country's total exports and extractive sector rents constitute 23 percent of gross domestic product.
"
Norway,Oil and Gas,NOR,"Norway's oil and gas sector scores 86 of 100 points and ranks first among 89 assessments in the 2017 Resource Governance Index (RGI). Its good performance is driven by a high score of 97 of 100 in the enabling environment component. With the highest gross domestic product per capita but also the highest resource dependence among countries assessed in the index in Western Europe and North America, Norway has reaped the benefits of sound resource governance. Its oil and gas sector contributes 58 percent to exports,1its oil reserves contain just above 500 million barrels2and its gas reserves total 66 trillion cubic feet.3Recent governance debates center around diversifying the non-oil sector and the role of the Government Pension Fund Global (the world's largest sovereign wealth fund) in investing in other industries.
"
Nigeria,Oil and Gas,NGA,"Nigeria scores 42 of 100 points and ranks 55th among 89 assessments in the 2017 Resource Governance Index (RGI). It has the largest oil and gas reserves in sub-Saharan Africa with an estimated 37 billion barrels of oil and 188 trillion cubic feet of gas. Nigeria is one of the world's most resource-dependent countries &mdash; oil and gas contributed the majority of government revenues and constituted 90 percent of Nigeria's exports in 2015. Nigeria also has the largest population on the African continent, so the oil and gas sector's governance issues impact the wellbeing of a large number of people. Governance challenges are present throughout the extractive decision chain. Value is lost particularly in licensing and in the Nigerian National Petroleum Corporation's (NNPC) sales of government oil, as well as when revenues from oil and gas are shared and saved. Furthermore, a history of scandals involving top officials and the NNPC has plagued the sector and drawn public attention to corruption and asset recovery. Given NNPC's central role in all stages of the decision chain, improving governance of the state-owned enterprise (SOE) is crucial.
"
Niger,Mining,NER,"Niger's uranium mining sector scores 54 of 100 points and ranks 31st among 89 assessments in the 2017 Resource Governance Index (RGI). A low-income country with 20 million inhabitants, Niger has the lowest gross domestic product per capita in the sub-Saharan Africa region. Nevertheless, Niger's mining sector is the eighth best governed natural resource sector in the region. The country's uranium reserves are estimated at over 30000 metric tons and uranium constitutes over 50 percent of the country's exports.
"
Myanmar,Oil and Gas,MMR,"Myanmar's oil and gas sector scores 31 of 100 points and ranks 77th among 89 assessments in the 2017 Resource Governance Index (RGI). Compared to the country's gemstones sector, progress in transparency is more visible in the oil and gas sector, which is emerging as a significant contributor of revenue to the state's coffers. According to the first Myanmar Extractive IndustriesTransparency Initiative (EITI) report, the oil and gas sector contributed 85 percent of reported revenues from the extractive sector, generating nearly a quarter of the government's revenues. Some reforms to the role of state-owned enterprises (SOEs) are underway. A failing enabling environment reflects the persistent challenges faced by a country that has suffered decades of internal conflict.Myanmar's enabling environment is assessed as failing.
"
Myanmar,Mining,MMR,"Myanmar's gemstone sector scores 27 of 100 points and ranks 83rd among 89 assessments in the 2017 Resource Governance Index (RGI). This assessment focuses solely on Myanmar's gemstone sector, which is governed by a separate legal framework from other minerals. The gemstone sector remains opaque, with a lack of public access to rules on licensing or the fiscal regime. Myanmar is one of the poorest countries in the world when measured by gross domestic product per capita. The country has suffered decades of internal conflict, partly financed by jade mining. Although significant variation exists between valuations, Myanmar's annual rough jade production is generally estimated to be worth billions of dollars. Improved transparency around the entire sector, particularly in licensing, ownership, production and revenue data, would be a step towards better governance.
"
Mozambique,Oil and Gas,MOZ,"Mozambique scores 50 of 100 in the 2017 Resource Governance Index placing it at the 41st position among 89 assessments in the index. Within sub-Saharan Africa Mozambique ranks 12th among 31 assessments. Performance is brought up by value realization, and down by revenue management and enabling environment. As a low-income country populated by 28 million people, Mozambique's discovery of gas reserves of 100 trillion cubic feet have created excitement over the potential economic benefits from these resources. In 2014, extractive resources contributed 30 percent to total exports of which eight percent were exports of natural gas to South Africa. They made up 21percent of Mozambique's budget revenues.
"
Morocco,Mining,MAR,"Morocco's phosphate mining sector scores 52 of 100 points and ranks 37th among 89 assessments in the 2017 Resource Governance Index (RGI). This score is boosted by a satisfactory enabling environment, with limited corruption and strong rule of law, but hampered by poor revenue management. Morocco is home to three quarters of global phosphate reserves, with an estimated 50 billion metric tons. The state-owned mining company, OCP, controls all phosphate mining activities in the country.
"
Mongolia,Mining,MNG,"Mongolia's mining sector scores a satisfactory 64 of 100 points in the 2017 Resource Governance Index (RGI), placing it 15th among 89 assessments and first among nine countries assessed in the Eurasia region. By population, Mongolia is the smallest country in Eurasia, with three million citizens. It has 18 million metric tons of copper reserves, representing two percent of global reserves. These copper reserves have attracted considerable investment over the past decade. According to 2015 Extractive Industries Transparency Initiative (EITI) data, resource revenues represented 24 percent of government revenues. Mongolia has developed a number of policies to manage resource revenues, including the establishment of a sovereign wealth fund and distribution of revenues via direct cash transfers, however, the recent fall of commodity prices has pushed the country in to a debt crisis. This is reflected in a weak score for revenue management, in contrast with satisfactory scores in other components of resource governance.
"
Mexico,Oil and Gas,MEX,"To improve the competitiveness of its oil and gas sector, Mexico launched energy reforms in 2013 that restructured state agencies and opened the sector to private investment. Following these reforms, Mexico's oil and gas sector scores 61 of 100 points in the 2017 Resource Governance Index, performing satisfactorily in value extraction and enabling environment, but weakly on revenue management. Mexico has the world's 16th-largest oil reserves, with just under 10 billion barrels of oil. In addition, Mexico has gas reserves estimated at 13 trillion cubic feet. Depletion of historical oil blocks along with public investment constraints have led to a significant reduction in government revenues from the petroleum sector, from 34 percent in 2009 to 21 percent in 2016. Oil and gas have fallen to six percent of total exports and energy imports have increased.
"
Mexico,Mining,MEX,"Mexico's mining sector scores 60 of 100 points in the 2017 Resource Governance Index (RGI) and ranks 19th among 89 assessments. Its overall performance is brought down by weak revenue management, particularly in subnational resource revenue sharing. Mexico is the world's seventh-largest gold producer and produced four million ounces of gold in 2016. Gold constitutes one percent of Mexico's total exportsand the wider mining sector, which also includes significant silver production, constitutes three percent.This assessment focuses on gold mining, an industry which has seen significant growth in investment and output over the past ten years. Yet in 2015, it contributed less than one percentof government revenues. 
"
Mauritania,Mining,MRT,"Mauritania's iron ore mining sector scores 29 of 100 points and ranks 82nd among 89 assessments in the 2017 Resource Governance Index (RGI). Its overall failing performance is impacted by a score of 10 of 100 points in the revenue management subcomponent, ranking 87thin the index. With four million inhabitants and a gross domestic product (GDP) per capita of USD 100, Mauritania can be classified as a middle-income country with the lowest GDP in the Middle East and North Africa (MENA) region. It has just over one billion metric tons of proven iron ore reserves, representing almost one percent of global reserves. The mining sector constitutes just under 60 percent of the country's total exports and extractive sector rents constitute 32 percent of GDP. This places Mauritania among the most resource dependent Extractive Industries Transparency Initiative (EITI) countries.
"
Mali,Mining,MLI,"Mali's gold mining sector scores 53 of 100 points and ranks 35th among 89 assessments in the 2017 Resource Governance Index (RGI). Its overall performance is boosted by satisfactory performance in the revenue management component, ranking eighth in the index. Mali is classified as a low-income country and has endured a decade of political instability. Gold constitutes 29 percent of the country's total exports and other minerals account for an additional four percent of exports. Mali has just over 20 million ounces of proven gold reserves, placing it among the top 20 global gold producers.
"
Malaysia,Oil and Gas,MYS,"Malaysia scores 56 of 100 points in the 2017 Resource Governance Index (RGI), ranking 27th among 89 assessments. Malaysia has managed to invest petroleum revenues to diversify the economy, but recent challenges with high-level corruption and rising criticism over sharing of petroleum revenues are challenging the perception of good governance of the country's oil and gas sector. The country has proven oil reserves of just under 300 million barrels and gas reserves of 40 trillion cubic feet. The oil and gas sector constitutes 16 percent of Malaysia's total exports.
"
Madagascar,Mining,MDG,"Madagascar's nickel mining sector scores 36 of 100 points and ranks 68th among 89 assessments in the 2017 Resource Governance Index (RGI). This overall poor performance is impacted by the sectors poor score of 34 of 100 in revenue management. Madagascar is a low-income country with a population of 24 million, it has a gross domestic product of USD 400 per capita. The mining sector constitutes 35 percent of its total exports and with nickel reserves standing at 1 million tons, Madagascar has the potential to continue growing its mining sector. The government could alleviate opposition to environmental impacts and concerns over equitable sharing of benefits by closing the gap between the mining legal framework and its implementation, particularly in regard to local impact and subnational revenue sharing.
"
