questionID,question,lawPractice,questionLabel,indicator,subComponent,component
2,Does the government publicly disclose data on extractive resource reserves?,Practice,Reserves volume disclosure,Reserves disclosure,Licensing,Value realization
3,How up-to-date is the publicly disclosed data on extractive resource reserves?,Practice,Reserves disclosure timeliness,Reserves disclosure,Licensing,Value realization
4,Is the data disclosed on extractive resource reserves machine-readable?,Practice,Reserves disclosure machine-readability,Reserves disclosure,Licensing,Value realization
169,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadastre)?,Practice,Cadastre coverage,Cadastre,Licensing,Value realization
45,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",Practice,Cadastre platform,Cadastre,Licensing,Value realization
46,Does the publicly available registry of licenses/contracts cover areas/blocks?,Practice,Cadastre block coverage,Cadastre,Licensing,Value realization
47,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,Practice,Cadastre interest holders,Cadastre,Licensing,Value realization
28,Is the government required to set pre-defined criteria by which companies become qualified to participate in a licensing process?,Law,Qualification criteria requirement,Pre-licensing round rules,Licensing,Value realization
32,"Prior to each licensing process, is the licensing authority required to disclose a list of biddable terms or negotiable terms?",Law,Biddable terms disclosure requirement,Pre-licensing round rules,Licensing,Value realization
34,"Prior to each license processes, is the licensing authority required to disclose the rules governing the licensing process, such as auction or negotiation rules?",Law,Licensing process requirement,Pre-licensing round rules,Licensing,Value realization
25,Is the licensing authority independent from the SOE?,Law,Licensing authority independence,Pre-licensing round rules,Licensing,Value realization
29,"From 2015 onwards, did the licensing authority publicly disclose minimum pre-defined criteria by which companies become qualified to participate in licensing processes?",Practice,Qualification criteria disclosure,Pre-licensing round practice,Licensing,Value realization
33,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose a list of biddable or negotiable terms?",Practice,Biddable terms disclosure,Pre-licensing round practice,Licensing,Value realization
35,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose the rules governing the licensing process, such as auction or negotiation rules?",Practice,Licensing process rule disclosure,Pre-licensing round practice,Licensing,Value realization
37,"Following each licensing process, is the licensing authority required to disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",Law,License applicant disclosure requirement,Post-licensing round rules,Licensing,Value realization
39,"Following each licensing process, is the licensing authority required to publicly disclose the identity of the winning bidder or applicant?",Law,License winner disclosure requirement,Post-licensing round rules,Licensing,Value realization
41,"Following the licensing process, is the licensing authority required to publicly disclose the list of areas or blocks allocated?",Law,Block allocation disclosure requirement,Post-licensing round rules,Licensing,Value realization
43,Are there rules that companies can follow to appeal licensing decisions?,Law,Licensing decision appeal requirement,Post-licensing round rules,Licensing,Value realization
38,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",Practice,License applicant disclosure,Post-licensing round practice,Licensing,Value realization
40,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the identity of the winning bidder/applicant?",Practice,License winner disclosure,Post-licensing round practice,Licensing,Value realization
42,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of areas/blocks allocated?",Practice,Block allocation disclosure,Post-licensing round practice,Licensing,Value realization
20,Are senior public officials required to publicly disclose their financial holdings in extractive companies?,Law,Public officials asset disclosure requirement,Financial interest disclosure rules,Licensing,Value realization
22,Do rules require public disclosure of beneficial owners of extractive companies?,Law,Beneficial ownership requirement,Financial interest disclosure rules,Licensing,Value realization
21,"From 2015 onwards, have senior public officials publicly disclosed their financial holdings in extractive companies?",Practice,Public officials asset disclosure,Financial interest disclosure practice,Licensing,Value realization
23,"From 2015 onwards, have the beneficial owners of extractive companies been disclosed?",Practice,Beneficial ownership disclosure,Financial interest disclosure practice,Licensing,Value realization
15,Is the government required to publicly disclose all signed licenses/contracts with extractive companies?,Law,Contract disclosure requirement,Contract disclosure rules,Licensing,Value realization
16,"From 2015 onwards, has the government publicly disclosed signed licences/contracts?",Practice,Contract disclosure timeliness,Contract disclosure,Licensing,Value realization
17,"Has the government publicly disclosed all active licenses/contracts, regardless of when they were signed?",Practice,Historical contract disclosure,Contract disclosure,Licensing,Value realization
5,Does the government publicly disclose data on the volume of extractive resource production?,Practice,Production volume disclosure,Production disclosure,Taxation,Value realization
6,How up-to-date is the publicly disclosed data on the volume of extractive resource production?,Practice,Production disclosure timeliness,Production disclosure,Taxation,Value realization
7,Is the data disclosed on the volume of extractive resource production machine-readable?,Practice,Production disclosure machine-readability,Production disclosure,Taxation,Value realization
8,Does the government publicly disclose data on the value of extractive resource exports?,Practice,Export value disclosure,Export disclosure,Taxation,Value realization
9,How up-to-date is the publicly disclosed data on the value of extractive resource exports?,Practice,Export disclosure timeliness,Export disclosure,Taxation,Value realization
10,Is the data disclosed on the value of extractive resource exports machine-readable?,Practice,Export disclosure machine-readability,Export disclosure,Taxation,Value realization
56,Is the government required to publicly disclose data on payments from extractive companies to the government?,Law,Payment disclosure requirement,Company payment rules,Taxation,Value realization
59,Does the government publicly disclose data on the value of tax/payment receipts?,Practice,Payment disclosure,Company payment disclosure,Taxation,Value realization
60,How up-to-date is government data on the value of tax/payment receipts?,Practice,Payment disclosure timeliness,Company payment disclosure,Taxation,Value realization
61,Is the most recent publicly available data on tax and payment receipts disaggregated by payment type?,Practice,Payment disclosure machine-readability,Company payment disclosure,Taxation,Value realization
50,Do rules specify the income tax rate(s) applying to extractive companies?,Law,Income tax rate rule,Taxation rules,Taxation,Value realization
51,Do rules specify the royalty rate(s) applying to extractive companies?,Law,Royalty rate rule,Taxation rules,Taxation,Value realization
52,Do rules specify the level of state equity (or options for state equity such as carried interest) in extractive companies ?,Law,State equity rule,Taxation rules,Taxation,Value realization
53,Do rules specify the withholding tax rate(s) applying to extractive companies payments?,Law,Withholding tax rate rule,Taxation rules,Taxation,Value realization
54,"For countries using production sharing agreements, do rules specify the company and government production shares?",Law,Production sharing arrangement rule,Taxation rules,Taxation,Value realization
62,"Is the government required to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs?",Law,Payment deposit requirement,Tax authority rules,Taxation,Value realization
63,Is the national tax authority required to audit extractive companies?,Law,Taxpayer audit requirement,Tax authority rules,Taxation,Value realization
64,Is the national tax authority required to periodically be audited by an external body?,Law,Tax authority audit requirement,Tax authority rules,Taxation,Value realization
65,Was the national tax authority audited over the most recently completed audit timeframe?,Practice,Tax authority audit timeframe,Tax authority practice,Taxation,Value realization
18,Is the country EITI-compliant?,Practice,EITI affiliation,EITI affiliation and reporting,Taxation,Value realization
19,How up-to-date is the data contained in the country's most recent EITI report?,Practice,EITI report timeliness,EITI affiliation and reporting,Taxation,Value realization
66,Are extractive companies required to prepare an EIA and/or SIA prior to development?,Law,EIA/SIA requirement,EIA/SIA rules,Local impact,Value realization
67,Is there a requirement for the EIA and/or SIA to be publicly disclosed?,Law,EIA/SIA disclosure requirement,EIA/SIA rules,Local impact,Value realization
68,"From 2015 onwards, have EIAs and/or SIAs been publicly disclosed?",Practice,EIA/SIA disclosure practice,EIA/SIA disclosure,Local impact,Value realization
69,Are extractive companies required to prepare environmental mitigation management plans prior to development?,Law,Environmental mitigation plan requirement,Environmental mitigation plan rules,Local impact,Value realization
70,Is there a requirement for environmental mitigation management plans to be publicly disclosed?,Law,Environmental mitigation plan disclosure requirement,Environmental mitigation plan rules,Local impact,Value realization
71,"From 2015 onwards, have environmental mitigation management plans been publicly disclosed?",Practice,Environmental mitigation plan disclosure practice,Environmental mitigation plan disclosure,Local impact,Value realization
72,"Do rules require the government to set penalties (i.e. fines, license suspension or license revocation) for non-compliance with environmental mitigation management plans?",Law,Environmental penalty requirement,Environmental compliance rules,Local impact,Value realization
77,Are there rules governing rehabilitation and closure of extractive projects?,Law,Project closure requirement,Environmental compliance rules,Local impact,Value realization
78,"From 2015 onwards, have the procedures governing rehabilitation and closure of extractive projects been adhered to?",Practice,Project closure compliance,Environmental compliance practice,Local impact,Value realization
73,Are there rules governing compensation to landowners or land users when project development interferes with their access to or use of land?,Law,Compensation requirement,Compensation to land users and owners rules,Local impact,Value realization
75,Are there specific procedures governing the resettlement of land users when project development interferes with their access to or use of land?,Law,Resettlement requirement,Compensation to land users and owners rules,Local impact,Value realization
82,Are there rules governing fiscal transfers between the government and the SOE?,Law,SOE-government transfers governance rule,SOE-government transfers rules,State-owned enterprises,Value realization
84,Does the government publicly disclose how much revenue it receives from the SOE?,Practice,Government-SOE receipt disclosure,SOE-government transfers disclosure,State-owned enterprises,Value realization
85,Does the SOE publicly disclose how much revenue it transfers to the government?,Practice,SOE-government transfer disclosure,SOE-government transfers disclosure,State-owned enterprises,Value realization
86,Is the SOE required to publicly disclose annual reports containing information on its finances and operations?,Law,SOE annual report disclosure requirement,SOE financial reporting rules,State-owned enterprises,Value realization
98,Do rules require a periodic audit of the SOE's financial statements by an external body?,Law,SOE financial audit requirement,SOE financial reporting rules,State-owned enterprises,Value realization
116,"Is the SOE required to submit annual reports to the legislature on its commercial, non-commercial (i.e. regulatory) and non-operational activities (i.e. activities not related to resource extraction)?",Law,SOE report legislative review requirement,SOE financial reporting rules,State-owned enterprises,Value realization
100,"From 2015 onwards, did the SOE engage in non-operational activities (e.g. payments for social services, public infrastructure, fuel subsidies, national debt servicing)?",Practice,SOE non-operational activity,SOE non-operational activity practice,State-owned enterprises,Value realization
101,Has the SOE publicly disclosed the amount spent on non-operational activities?,Practice,SOE non-operational spending,SOE non-operational activity practice,State-owned enterprises,Value realization
99,Did an external body audit the SOE's annual financial statements over the most recently completed audit timeframe?,Practice,SOE audit timeframe,SOE financial reporting practice,State-owned enterprises,Value realization
87,Has the SOE publicly disclosed annual reports on its finances and operations?,Practice,SOE annual report disclosure,SOE financial reporting practice,State-owned enterprises,Value realization
88,Does the SOE's most recent public annual report include a balance sheet statement?,Practice,SOE balance sheet disclosure,SOE financial reporting practice,State-owned enterprises,Value realization
89,Does the SOE's most recent public annual report include a cash flow statement?,Practice,SOE cash flow statement disclosure,SOE financial reporting practice,State-owned enterprises,Value realization
90,Does the SOE's most recent public annual report include an income statement?,Practice,SOE income statement disclosure,SOE financial reporting practice,State-owned enterprises,Value realization
96,Does the SOE publicly disclose its aggregate production volume?,Practice,SOE production volume disclosure,SOE production disclosure,State-owned enterprises,Value realization
97,Does the SOE publicly disclose its aggregate sales volume?,Practice,SOE sales volume disclosure,SOE production disclosure,State-owned enterprises,Value realization
105,Are there rules that govern how the SOE should select the buyers of its production?,Law,SOE production buyer selection rule,Commodity sale rules,State-owned enterprises,Value realization
106,Are there rules that determine the prices at which the SOE should sell its production?,Law,SOE production sale price rule,Commodity sale rules,State-owned enterprises,Value realization
107,Are there rules that govern how the proceeds from the sale of the SOE's production should be transferred to the government?,Law,SOE sales proceed transfer rule,Commodity sale rules,State-owned enterprises,Value realization
109,Are there rules that require the SOE or government to publicly disclose information on the sale of production by the SOE?,Law,SOE sales disclosure rule,Commodity sale rules,State-owned enterprises,Value realization
110,Does the SOE or government publicly disclose the volume of production sold by the SOE?,Practice,SOE sold production volume disclosure,Commodity sale disclosures,State-owned enterprises,Value realization
111,Does the SOE or government publicly disclose the value of the production sold by the SOE?,Practice,SOE sold production value disclosure,Commodity sale disclosures,State-owned enterprises,Value realization
112,Does the SOE or government publicly disclose the date of the production sales executed by the SOE?,Practice,SOE production sale date disclosure,Commodity sale disclosures,State-owned enterprises,Value realization
113,Does the SOE or government publicly disclose the names of the companies that bought the production sold by the SOE?,Practice,SOE production buyers disclosure,Commodity sale disclosures,State-owned enterprises,Value realization
91,Does the SOE publicly disclose its participation in joint ventures?,Practice,SOE joint ventures disclosure,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization
92,Does the SOE publicly disclose its levels of ownership in joint ventures?,Practice,SOE joint venture participatory interest disclosure,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization
93,Does the SOE publicly disclose the costs and revenues deriving from its participation in joint ventures?,Practice,SOE joint venture cost and revenue disclosure,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization
94,Does the SOE publicly disclose a list of its subsidiaries?,Practice,SOE subsidiaries disclosure,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization
95,Does the SOE publicly disclose the costs and revenues deriving from its subsidiaries?,Practice,SOE subsidiaries cost and revenue disclosure,SOE joint ventures and subsidiaries disclosure,State-owned enterprises,Value realization
115,Does the SOE have a publicly available code of conduct?,Practice,SOE code of conduct,SOE corporate governance practice,State-owned enterprises,Value realization
114,Is the majority of the SOE's board of directors independent of the government (i.e. at least half of all board members do not hold positions in the current central government)?,Practice,SOE board of directors independence,SOE corporate governance practice,State-owned enterprises,Value realization
11,"Does the government have an online data portal containing publicly available data on reserves, production and exports?",Practice,Online data portal coverage,Online data portal,National budgeting,Revenue management
12,"Does the online data portal contain the most recent publicly available data on reserves, production and exports?",Practice,Online data portal timeliness,Online data portal,National budgeting,Revenue management
13,Is the data contained in the online data portal machine-readable?,Practice,Online data portal machine-readability,Online data portal,National budgeting,Revenue management
14,Is the data contained in the online data portal available under an open license?,Practice,Online data portal open license,Online data portal,National budgeting,Revenue management
117,Does the country have a numerical fiscal rule?,Law,Fiscal rule existence,Fiscal rules,National budgeting,Revenue management
119,Do rules require that an external body periodically monitor the government's adherence to the numerical fiscal rule?,Law,Fiscal rule monitoring requirement,Fiscal rules,National budgeting,Revenue management
118,"Over the most recently completed fiscal year, did the government adhere to the numerical fiscal rule?",Practice,Fiscal rule adherence,Fiscal rule practice,National budgeting,Revenue management
120,Was the government's adherence to the fiscal rule externally monitored over the most recently completed audit timeframe?,Practice,Fiscal rule monitoring timeframe,Fiscal rule practice,National budgeting,Revenue management
121,Does the government publicly disclose projections of extractive resource revenues?,Practice,Revenue projections disclosure,National budget disclosure,National budgeting,Revenue management
122,Has the government publicly disclosed a national budget that has been enacted for the current fiscal year?,Practice,Budget disclosure,National budget disclosure,National budgeting,Revenue management
125,"For the most recently completed fiscal year, did the government publicly disclose total government expenditures?",Practice,Government expenditure disclosure,National budget disclosure,National budgeting,Revenue management
124,"For the most recently completed fiscal year, did the government publicly disclose the total resource revenue received?",Practice,Resource revenue disclosure,National budget disclosure,National budgeting,Revenue management
126,Does the government publicly disclose the level of national debt?,Practice,Debt level disclosure,National debt disclosure,National budgeting,Revenue management
127,Is the most recent publicly available information on the national debt disaggregated by currency denomination (i.e. foreign or domestic)?,Practice,Debt currency denomination,National debt disclosure,National budgeting,Revenue management
132,Do rules specify which subnational agencies receive the extractive resource revenues transferred from the central government?,Law,Subnational agency rule,Subnational transfer agency rules,Subnational resource revenue sharing,Revenue management
133,Do rules specify a formula governing the transfer of extractive resource revenues between the central government and subnational governments?,Law,Revenue sharing formula,Subnational transfer rules,Subnational resource revenue sharing,Revenue management
134,"If there is a formula governing the transfer of extractive resource revenue between the central government and subnational governments, does this formula specify the amount of revenue received by each subnational government?",Law,Revenue share amount specification,Subnational transfer rules,Subnational resource revenue sharing,Revenue management
135,"From 2015 onwards, did the central government disclose the amount of revenues transferred to subnational governments?",Practice,Revenues shared disclosure,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management
136,How up-to-date is the information publicly disclosed by the central government on the amount of revenues transferred to subnational governments?,Practice,Revenues shared disclosure timeliness,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management
138,"From 2015 onwards, has the central government publicly disclosed the amount of revenue transferred by revenue stream?",Practice,Revenues shared disclosure by revenue stream,Subnational transfer disclosure,Subnational resource revenue sharing,Revenue management
142,Do rules require that an external body periodically audit the transfers of extractive resource revenues to subnational governments?,Law,Transfer audit requirement,Subnational transfer audit rule,Subnational resource revenue sharing,Revenue management
143,Were transfers of extractive resource revenues to subnational governments externally audited over the most recently completed audit timeframe?,Practice,Transfer audit timeframe,Subnational transfer audit practice,Subnational resource revenue sharing,Revenue management
146,Are there numeric rules governing the size of withdrawals from the sovereign wealth fund?,Law,SWF withdrawal rule,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management
148,Do rules require that withdrawals and spending from the sovereign wealth fund pass through the national budget?,Law,SWF national budget review requirement,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management
150,Are there numeric rules governing the size of deposits into the sovereign wealth fund?,Law,SWF deposit rule,SWF deposit and withdrawal rules,Sovereign wealth funds,Revenue management
160,Does the sovereign wealth fund's most recent publicly available annual financial report specify the size of the fund?,Practice,SWF size of fund disclosure,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management
161,Does the sovereign wealth fund's most recent publicly available annual financial report disclose ?,Practice,SWF deposit and withdrawal amounts disclosure,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management
147,"From 2015 onwards, has the government adhered to the numeric rules governing the size of withdrawals from sovereign wealth funds?",Practice,SWF withdrawal rule adherence,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management
151,"From 2015 onwards, has the government adhered to the numeric rules governing the size of deposits into the sovereign wealth fund?",Practice,SWF deposit rule adherence,SWF deposit and withdrawal practice,Sovereign wealth funds,Revenue management
154,Is the sovereign wealth fund prohibited from investing in domestic assets without budgetary approval?,Law,SWF domestic investment rule,SWF investment rules,Sovereign wealth funds,Revenue management
155,Is the sovereign wealth fund prohibited from investing in certain asset classes or investment types?,Law,SWF asset class rule,SWF investment rules,Sovereign wealth funds,Revenue management
162,Does the sovereign wealth fund's most recent publicly available annual financial report specify the rate of return made on its investments?,Practice,SWF rate of return disclosure,SWF investment practice,Sovereign wealth funds,Revenue management
163,Does the sovereign wealth fund's most recent publicly available annual financial report include a list of assets held?,Practice,SWF assets held disclosure,SWF investment practice,Sovereign wealth funds,Revenue management
164,Does the sovereign wealth fund's most recent publicly available annual financial report specify the fund's asset allocation by asset class?,Practice,SWF asset class disclosure,SWF investment practice,Sovereign wealth funds,Revenue management
149,"From 2015 onwards, have withdrawals and spending from the sovereign wealth fund actually passed through the national budget?",Practice,SWF national budget review practice,SWF investment practice,Sovereign wealth funds,Revenue management
156,"From 2015 onwards, has the sovereign wealth fund adhered to rules limiting asset class or investment types?",Practice,SWF asset class rule adherence,SWF investment practice,Sovereign wealth funds,Revenue management
157,Is the sovereign wealth fund required to produce annual financial reports?,Law,SWF annual financial reporting requirement,SWF financial reporting rules,Sovereign wealth funds,Revenue management
158,Is the sovereign wealth fund required to publicly disclose these annual financial reports?,Law,SWF financial report disclosure rule,SWF financial reporting rules,Sovereign wealth funds,Revenue management
165,Do rules require an external body to periodically audit the sovereign wealth fund's annual financial reports?,Law,SWF financial audit requirement,SWF financial reporting rules,Sovereign wealth funds,Revenue management
167,Is the legislature required to review the sovereign wealth fund's annual financial reports?,Law,SWF legislative review requirement,SWF financial reporting rules,Sovereign wealth funds,Revenue management
159,Does the sovereign wealth fund publicly disclose its annual financial reports?,Practice,SWF financial report disclosure,SWF financial reporting practice,Sovereign wealth funds,Revenue management
166,Were these annual financial reports audited over the most recently completed audit timeframe?,Practice,SWF financial audit timeframe,SWF financial reporting practice,Sovereign wealth funds,Revenue management
168,"From 2015 onwards, has the legislature reviewed the sovereign wealth fund's annual financial reports?",Practice,SWF legislative review,SWF financial reporting practice,Sovereign wealth funds,Revenue management
NA,NA,NA,NA,Control of corruption,Control of corruption,Enabling environment
NA,NA,NA,NA,Government effectiveness,Government effectiveness,Enabling environment
NA,NA,NA,NA,Political stability and absence of violence,Political stability and absence of violence,Enabling environment
NA,NA,NA,NA,Regulatory quality,Regulatory quality,Enabling environment
NA,NA,NA,NA,Rule of law,Rule of law,Enabling environment
NA,NA,NA,NA,Voice and accountability,Voice and accountability,Enabling environment
NA,NA,NA,NA,Open Data Index,Open data,Enabling environment
NA,NA,NA,NA,Open data inventory,Open data,Enabling environment
NA,NA,NA,NA,Open Data Barometer,Open data,Enabling environment
